"PORT","YEAR","Species","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"Kodiak",2008,"Dark",0.0482758620689655,0.00031906460562822,0.04,0.000518918918918919,480.875862068965,191.238316168977,225.4,134.81341259762,706.275862068965,233.980233753541,0.0452857054417136,0.0140771711005389
"Kodiak",2008,"Dusky",0.0758620689655172,0.000486854274012419,0.226666666666667,0.00236876876876877,755.662068965517,247.338773722714,1277.26666666667,390.077726758287,2032.92873563218,461.884294926304,0.130349367506552,0.0244444255682938
"Kodiak",2008,"DuskyDark",0.0137931034482759,9.44642621218127e-05,0.0133333333333333,0.000177777777777778,137.393103448276,98.0147367998196,75.1333333333333,75.1333333333333,212.526436781609,123.498608930286,0.0136269836356508,0.0078576809339396
"Kodiak",2008,"Quillback",0.00689655172413793,4.75624256837099e-05,0.0133333333333333,0.000177777777777778,68.6965517241379,68.6965517241379,75.1333333333333,75.1333333333333,143.829885057471,101.804881987874,0.00922222910088941,0.00654013298672417
"Kodiak",2008,"Yelloweye",0.117241379310345,0.000718721099220505,0.0133333333333333,0.000177777777777778,1167.84137931034,321.149058664088,75.1333333333333,75.1333333333333,1242.97471264368,329.820762928302,0.0796983016570709,0.0189466772525706
"Kodiak",2009,"Black",0.761111111111111,0.00101575970756604,0.52,0.00337297297297297,7050.93333333333,954.768543506629,3469.96,831.664518173758,10520.8933333333,1266.19463055999,0.660155194411328,0.0338910777633492
"Kodiak",2009,"Dark",0.00555555555555556,3.08641975308642e-05,0.0266666666666667,0.000350750750750751,51.4666666666667,51.4666666666667,177.946666666667,127.864324058617,229.413333333333,137.833606731975,0.0143950136997762,0.00857689200739315
"Kodiak",2009,"Dusky",0.105555555555556,0.000527450168977171,0.36,0.00311351351351351,977.866666666667,245.762318550095,2402.28,628.591826072695,3380.14666666667,674.927256098406,0.212094287925373,0.031023307395509
"Kodiak",2009,"Quillback",0.00555555555555556,3.08641975308642e-05,0,0,51.4666666666667,51.4666666666667,0,0,51.4666666666667,51.4666666666667,0.00322938235970802,0.00324692849548798
"Kodiak",2009,"Tiger",0.00555555555555556,3.08641975308642e-05,0,0,51.4666666666667,51.4666666666667,0,0,51.4666666666667,51.4666666666667,0.00322938235970802,0.00324692849548798
