"","species","PORT","YEAR","piC","vpiC","piP","vpiP","HiC","SEHiC","HiP","SEHiP","Hi","SEHi","pi","SEpi"
"124","Dark","CI",2013,0.200348432055749,0.000279596750137089,0.179611650485437,0.000718786856074801,NA,NA,NA,NA,NA,NA,NA,NA
"125","Dusky","CI",2013,0.0470383275261324,7.82298835421932e-05,0.0339805825242718,0.000160126353832112,NA,NA,NA,NA,NA,NA,NA,NA
"126","DuskyDrk","CI",2013,0.0226480836236934,3.86302756228055e-05,0.0194174757281553,9.28801822658626e-05,NA,NA,NA,NA,NA,NA,NA,NA
"127","Quillback","CI",2013,0.0278745644599303,4.72907035184983e-05,0.0194174757281553,9.28801822658626e-05,NA,NA,NA,NA,NA,NA,NA,NA
"128","Silvergray","CI",2013,0.00174216027874564,3.0351224368391e-06,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"129","Tiger","CI",2013,0.00522648083623693,9.07358592374412e-06,0.00485436893203883,2.35648977283439e-05,NA,NA,NA,NA,NA,NA,NA,NA
"130","Yelloweye","CI",2013,0.123693379790941,0.000189168110971789,0.111650485436893,0.000483827583115119,NA,NA,NA,NA,NA,NA,NA,NA
"131","Black","CI",2014,0.564543889845095,0.000423851872902869,0.357615894039735,0.00153151177579931,NA,NA,NA,NA,NA,NA,NA,NA
"132","China","CI",2014,0.00860585197934595,1.47099849845785e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"133","Copper","CI",2014,0.00688468158347676,1.17884185223636e-05,0.00662251655629139,4.38577255383536e-05,NA,NA,NA,NA,NA,NA,NA,NA
"134","Dark","CI",2014,0.125645438898451,0.000189411487211149,0.258278145695364,0.00127713696767686,NA,NA,NA,NA,NA,NA,NA,NA
"135","Dusky","CI",2014,0.137693631669535,0.000204713957702051,0.271523178807947,0.00131865561451983,NA,NA,NA,NA,NA,NA,NA,NA
"136","DuskyDrk","CI",2014,0.0464716006884682,7.63999845136547e-05,0.0397350993377483,0.000254374808122451,NA,NA,NA,NA,NA,NA,NA,NA
"137","Quillback","CI",2014,0.0430292598967298,7.09961080852922e-05,0.0132450331125828,8.71306814028625e-05,NA,NA,NA,NA,NA,NA,NA,NA
"138","Yelloweye","CI",2014,0.0671256454388985,0.000107965160626396,0.0529801324503311,0.000334488253439177,NA,NA,NA,NA,NA,NA,NA,NA
"139","Black","CI",2015,0.667311411992263,0.000430245913599138,0.39622641509434,0.00113379641268165,NA,NA,NA,NA,NA,NA,NA,NA
"140","China","CI",2015,0.02321083172147,4.39381570005186e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"141","Copper","CI",2015,0.00580270793036751,1.11803033159736e-05,0.00943396226415094,4.42889223703769e-05,NA,NA,NA,NA,NA,NA,NA,NA
"142","Dark","CI",2015,0.0715667311411992,0.00012876925219954,0.127358490566038,0.000526721826761982,NA,NA,NA,NA,NA,NA,NA,NA
"143","Dusky","CI",2015,0.121856866537718,0.000207379400417299,0.358490566037736,0.00108992928957194,NA,NA,NA,NA,NA,NA,NA,NA
"144","DuskyDrk","CI",2015,0.00386847195357834,7.46803658589673e-06,0.0235849056603774,0.000109140558698429,NA,NA,NA,NA,NA,NA,NA,NA
"145","Quillback","CI",2015,0.0174081237911025,3.31493818162329e-05,0.00943396226415094,4.42889223703769e-05,NA,NA,NA,NA,NA,NA,NA,NA
"146","Tiger","CI",2015,0.00580270793036751,1.11803033159736e-05,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"147","Yelloweye","CI",2015,0.0831721470019342,0.000147780118149269,0.0754716981132075,0.000330690620365481,NA,NA,NA,NA,NA,NA,NA,NA
"148","Black","CI",2016,0.636363636363636,0.000659273386546114,0.355932203389831,0.00195935444427257,NA,NA,NA,NA,NA,NA,NA,NA
