"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PRELMETH","PELDEPTH","YEKEPT","YEVER","YECAS","YEREL","YERELMETH","YEDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPRELMETH","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"260","CCI","",NA,16,1,1,"H",515938,NA,5,0,7,10,"N",0,1,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,27,"Private","DeepCr","",5,1,0,0,0,0
"261","CCI","SHAY LYNN",122188,17,1,1,"H",525931,NA,6,0,8,12,"N",0,19,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,8,"N",4,20,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,27,"Charter","DeepCr","",6,19,0,0,0,0
"262","CCI","SHANTELLY MARIE",121780,17,1,1,"H",525931,NA,6,2,6,16,"N",0,53,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,27,"Charter","DeepCr","",8,53,0,0,0,0
"263","CCI","",NA,14,1,1,"H",515938,NA,3,0,4,6,"N",0,0,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,29,"Private","DeepCr","",3,0,0,0,0,0
"264","CCI","",NA,14,1,1,"H",525931,NA,3,0,4,6,"N",0,15,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,29,"Private","DeepCr","",3,15,0,0,0,0
"265","CCI","",NA,15,1,1,"H",515938,NA,2,0,4,4,"N",0,12,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,29,"Private","DeepCr","",2,12,0,0,0,0
"266","CCI","",NA,15,1,1,"H",525931,NA,5,0,4,5,"N",0,20,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,29,"Private","DeepCr","",5,20,0,0,0,0
"267","CCI","",NA,15,1,1,"H",515939,NA,2,0,4,4,"N",0,3,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,29,"Private","DeepCr","",2,3,0,0,0,0
"268","CCI","",NA,15,1,1,"H",525931,NA,4,0,3,8,"N",0,4,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,29,"Private","DeepCr","",4,4,0,0,0,0
"269","CCI","",NA,15,1,1,"H",525931,NA,3,0,3,6,"N",0,5,0,0,"",NA,0,"",0,0,"",0,0,"",0,0,"",NA,0,"",0,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2012,6,29,"Private","DeepCr","",3,5,0,0,0,0
