"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PELREL","PELDEPTH","NPKEPT","NPVER","NPREL","NPDEPTH","LCKEPT","LCVER","LCRELOVR","LCRELUND","CODKEPT","CODREL","SSKKEPT","SSKREL","SDFKEPT","SDFREL","PSSKEPT","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL"
"72","CCI","ALASKAN ADVENTURES",93352,13,1,1,"B+S",525931,NA,5,0,3.5,10,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,6,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",5,6,0,NA,0
"73","CCI","VIKING SPIRIT",91886,13,1,1,"B+S",525931,NA,6,0,4,12,"N",0,11,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,2,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,11,0,NA,0
"74","CCI","ONEILS BABY",93426,13,1,1,"B+S",525931,NA,6,0,3,12,"N",0,18,0,NA,"",0,0,NA,"",NA,0,NA,"",0,3,0,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,18,3,NA,0
"75","CCI","",NA,14,1,1,"B+S",525931,NA,7,0,3,12,"N",0,5,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,3,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",7,5,0,NA,0
"76","CCI","THE HUNTER",93390,14,1,1,"B+S",525931,NA,4,0,3,8,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",4,0,0,NA,0
"77","CCI","",NA,14,1,1,"B+S",515939,NA,2,0,6,0,"N",0,0,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",2,0,0,NA,0
"78","CCI","CALLIE ANNE",93404,14,1,1,"B+S",525931,NA,6,0,4,12,"N",0,10,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",6,10,0,NA,0
"79","CCI","",NA,14,1,1,"B",515939,NA,3,0,3,6,"N",0,2,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,0,0,0,0,0,0,0,0,2009,5,29,"Private","DeepCr","",3,2,0,NA,0
"80","CCI","LORA LEE",90063,14,1,1,"B+S",525931,NA,4,0,5,8,"N",0,12,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,4,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",4,12,0,NA,0
"81","CCI","INTIMIDATOR",93400,14,1,1,"B+S",525931,NA,3,0,4,6,"N",0,6,0,NA,"",0,0,NA,"",NA,0,NA,"",0,0,1,0,0,0,0,0,0,0,2009,5,29,"Charter","DeepCr","",3,6,0,NA,0
