"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","P_KPT_CAS","PELREL","PELDEPTH","NPKEPT","NPVER","NPCAS","NPREL","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","PCAS","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","TRFREL","TRFCAS"
"1579","Kodiak","",NA,17,1,1,"S",525732,3,2,0,4,0,"N",0,0,0,10,"N",NA,20,100,0,"",NA,0,0,1,"N",1,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,10,2010,7,27,"Private","","",2,0,0,10,20,10
"1580","Kodiak","",NA,17,1,1,"B+S",525733,3,3,0,7,1,"Y",0,4,2,0,"",NA,1,130,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,2,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Private","","",3,6,0,0,1,NA
"1581","Kodiak","",NA,17,1,1,"S",525733,3,4,0,5,2,"N",0,0,0,0,"",NA,2,70,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,6,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Private","","",4,0,0,0,2,NA
"1582","Kodiak","REEL FUN",102954,18,1,1,"B+S",525733,2,6,2,8,16,"N",0,0,0,53,"N",NA,0,0,3,"N",NA,0,0,11,"N",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,1,2010,7,27,"Charter","","",8,0,0,56,0,1
"1583","Kodiak","LANA J",102869,18,1,1,"H",525733,2,2,2,3,8,"N",2,6,0,15,"N",NA,5,60,0,"",NA,0,0,4,"N",2,0,1,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Charter","","",4,6,1,15,5,NA
"1584","Kodiak","C DEVIL",102941,18,1,1,"B+S",525701,3,4,1,8,10,"N",0,0,11,20,"N",NA,51,50,0,"",NA,0,0,1,"N",NA,0,1,27,"N",1,25,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,2010,7,27,"Charter","","",5,11,1,20,51,0
"1585","Kodiak","U RASCAL",102973,19,1,1,"B+S",525701,2,5,0,6,6,"N",0,0,0,27,"N",NA,0,0,0,"",NA,0,0,8,"N",NA,0,0,12,"N",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Charter","","",5,0,0,27,0,NA
"1586","Kodiak","RUNNAMUCK V",102916,19,1,1,"B+S",525731,2,5,2,7,14,"N",0,10,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,12,"N",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Charter","","",7,10,0,0,0,NA
"1587","Kodiak","",NA,19,1,1,"S",525733,2,2,0,5,0,"N",0,0,0,1,"Y",NA,1,87,0,"",NA,0,0,0,"",NA,0,0,1,"Y",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Private","","",2,0,0,1,1,NA
"1588","Kodiak","",NA,19,1,1,"S",525733,2,2,0,3,0,"N",0,0,0,2,"N",NA,0,0,0,"",NA,0,0,1,"N",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Private","","",2,0,0,2,0,NA
"1589","Kodiak","",NA,20,1,1,"H",525733,2,2,0,2,0,"N",0,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Private","","",2,0,0,0,0,NA
"1590","Kodiak","",NA,21,1,1,"H",525733,3,6,0,2,1,"N",0,0,0,9,"Y",NA,6,70,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,12,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,27,"Private","","",6,0,0,9,6,NA
"1591","Kodiak","EL GATO",102932,16,1,1,"H",525733,2,3,1,6,8,"N",0,5,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,0,0,0,"",NA,1,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,2,0,"",NA,0,NA,2010,7,28,"Charter","","",4,5,0,0,0,NA
"1592","Kodiak","U RASCAL",102973,17,1,1,"B+S",525701,2,4,1,5,9,"N",1,0,2,9,"N",NA,0,0,0,"",NA,0,0,2,"N",NA,0,0,0,"",NA,0,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,2,0,"",NA,0,NA,2010,7,28,"Charter","","",5,2,0,9,0,NA
"1593","Kodiak","SILVER BULLET",102924,17,1,1,"B+S",525731,2,4,2,8,12,"N",0,6,5,1,"N",NA,1,100,1,"N",NA,0,0,2,"N",NA,0,0,1,"N",NA,5,0,"",NA,NA,0,"",NA,NA,0,"",NA,0,0,"",NA,0,0,"",NA,0,NA,2010,7,28,"Charter","","",6,11,0,2,1,NA
