"","PORT","TARGET","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","ADFGSTATHAL","ADFGSTATRF","ADFGSTATLING","STATAREA_BOT","INTLOC","CLIENTDAYS","CREWDAYS","HOURS_H","HOURS_R","HOURS_L","HOURS_TOT","HAKEPT","GAFHAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","ADFGSTATOTH","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","SFmgmtareaHAL","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS","NONGAFHA"
"43","Whittier","B","ICRAZY II",211672,18,1,1,476008,476007,NA,NA,NA,6,0,2,3,0,0,12,0,"Y",0,1,0,20,"Y",0,0,0,0,0,"N",0,0,0,0,1,"Y",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,25,"Charter","","","PWS",6,1,0,21,0,0,0,0,0,12
"44","Whittier","B","SALTWATER ADDICTION",210014,18,1,1,476003,476003,NA,NA,NA,6,0,4,2,0,0,3,0,"N",3,0,0,3,"N",3,0,0,0,3,"N",2,0,0,0,1,"N",1,0,0,0,0,"N",0,0,4,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,25,"Charter","","","PWS",6,0,4,7,0,0,0,0,6,3
"45","Whittier","H","STRAIT CRAZY",211671,18,1,1,476006,476006,NA,NA,NA,8,0,7,0,0,0,10,0,"N",10,1,0,0,"N",0,0,0,0,1,"N",1,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,6,"N",6,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,25,"Charter","","","PWS",8,1,0,1,0,0,0,0,1,10
"46","Whittier","B","",NA,18,1,1,486033,486033,NA,NA,NA,2,0,0,0,0,2,1,0,"N",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,25,"Private","","","PWS",2,0,0,0,0,0,0,0,0,1
"47","Whittier","R","",NA,18,1,1,486031,486031,NA,NA,NA,6,0,0,3,0,0,0,0,"N",0,0,1,0,"N",0,0,0,0,6,"N",6,0,1,350,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,6,25,"Private","","","PWS",6,1,0,6,0,1,0,1,6,0
"48","Kodiak","H","LUCKY NINE",211624,19,1,1,525731,525731,525731,NA,2,2,0,8,0,0,0,2,0,"Y",0,0,0,6,"Y",0,3,0,60,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,1,3,10,"Y",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,28,"Charter","","","Kod",2,0,4,6,3,0,0,3,0,2
"49","Kodiak","B","",NA,13,1,1,NA,525733,NA,NA,2,3,0,0,0,0,3,0,0,"N",0,0,0,1,"Y",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,8,"Y",0,1,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,525733,2021,5,30,"Private","","","",3,0,0,1,0,0,0,0,0,0
"50","Kodiak","S","",NA,15,1,1,525733,NA,NA,NA,2,1,0,0,0,0,3,2,0,"Y",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,30,"Private","","","Kod",1,0,0,0,0,0,0,0,0,2
"51","Kodiak","H","",NA,15,1,1,525733,NA,NA,NA,2,2,0,2,0,0,0,1,0,"Y",0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,30,"Private","","","Kod",2,0,0,0,0,0,0,0,0,1
"52","Kodiak","B","REEL FUN",211662,17,1,1,525806,525806,NA,NA,3,5,0,0,0,0,6,10,0,"N",0,3,0,15,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,0,0,0,"N",0,0,2,36,"N",0,24,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,0,"N",0,0,NA,2021,5,30,"Charter","","","Kod",5,3,2,15,0,0,0,0,0,10
