"","PORT","BOATNAME","LOGBOOK","HOUR","TRIP1OR2","NUMDAYS","TARGET","ADFGSTAT","INTLOC","CLIENTDAYS","CREWDAYS","BOATHRS","HAKEPT","HAVER","HACAS","HARELCIR","HARELOTH","PELKEPT","PELVER","PCAS","PELRSURF","PELRDRM","PELRVENT","PELDEPTH","YEKEPT","YEVER","YECAS","YERSURF","YERDRM","YERVENT","YEDEPTH","NPKEPT","NPVER","NPCAS","NPRSURF","NPRDRM","NPRVENT","NPDEPTH","LCKEPT","LCVER","LCCAS","LCRELOVR","LCRELUND","CODKEPT","CODVER","CODCAS","CODREL","SABKEPT","SABVER","SABCAS","SABREL","POLKEPT","POLVER","POLCAS","POLREL","SSKKEPT","SSKVER","SSKCAS","SSKREL","SDFKEPT","SDFVER","SDFCAS","SDFREL","PSSKEPT","PSSVER","PSSCAS","PSSREL","YEAR","MONTH","DAY","USER","SUBLOC","RESBAY","ANGLDAYS","HAREL","LCREL","TRFKEPT","PELREL","YEREL","NPREL","TRFREL","TRFCAS"
"1170","Kodiak","",NA,15,1,1,"H",525733,2,3,0,4,6,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,1,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,11,"Private","","",3,0,0,0,0,0,0,0,0
"1171","Kodiak","RUNNAMUCK V",132389,17,1,1,"H",525733,3,6,0,6,3,"N",0,4,0,4,"N",NA,5,0,0,160,1,"N",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,1,1,"N",NA,6,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,11,"Charter","","",6,4,1,5,5,0,0,5,0
"1172","Kodiak","",NA,19,1,1,"B+S",525733,1,3,0,7,2,"Y",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,11,"Private","","",3,0,0,0,0,0,0,0,0
"1173","Kodiak","",NA,19,1,1,"H",525733,1,3,0,3,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,1,"Y",NA,1,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,1,0,"",NA,0,2013,6,11,"Private","","",3,0,0,0,0,0,0,0,0
"1174","Kodiak","",NA,19,2,1,"H",525733,1,2,0,10,6,"Y",0,2,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,5,"N",NA,8,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,11,"Private","","",2,2,0,0,0,0,0,0,0
"1175","Kodiak","",NA,19,1,1,"H",525733,2,2,0,4,4,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,3,"Y",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,11,"Private","","",2,0,0,0,0,0,0,0,0
"1176","Kodiak","",NA,17,1,1,"H",525733,3,2,0,2,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,1,"N",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,12,"Private","","",2,0,0,0,0,0,0,0,0
"1177","Kodiak","",NA,18,1,1,"H",525733,2,5,0,7,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,12,"Private","","",5,0,0,0,0,0,0,0,0
"1178","Kodiak","",NA,18,1,1,"H",525733,2,2,0,2.5,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,1,"N",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,12,"Private","","",2,0,0,0,0,0,0,0,0
"1179","Kodiak","",NA,20,1,1,"H",525733,2,5,0,3,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,3,"Y",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,12,"Private","","",5,0,0,0,0,0,0,0,0
"1180","Kodiak","",NA,20,1,1,"H",525733,2,3,0,2,0,"N",0,0,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,8,"Y",NA,3,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,12,"Private","","",3,0,0,0,0,0,0,0,0
"1181","Kodiak","",NA,15,1,1,"H",525733,2,2,0,3,1,"Y",0,1,0,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,0,"",NA,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,6,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,16,"Private","","",2,1,0,0,0,0,0,0,0
"1182","Kodiak","",NA,15,1,1,"H",525733,2,5,0,5,10,"N",10,5,5,0,"",NA,0,0,0,NA,0,"",0,0,0,0,NA,1,"N",1,0,0,0,NA,0,"",NA,0,0,0,"",NA,0,0,"",NA,0,0,"",NA,4,0,"",NA,0,0,"",NA,0,0,"",NA,0,2013,6,16,"Private","","",5,10,0,1,0,0,0,0,1
